Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,LoanPurposeType,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1GenderType,Borrower2GenderType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,MarginRatePercent,Borrower1EthnicityType,Borrower2EthnicityType,HOEPALoanStatusType
4.0,23.0,75.0,794.0,11654.0,2.927,76696,68042,8936,72400,164000,76.0,6,0,240,240,1,2,0,0,5,1,2,52,46,1,1,3.375,164000,14.96,26.24,0,0,0.0,0,0.0,1.0,2,2,2
1.0,2.0,7.0,567.0,3558.0,18.844,55000,68709,2798,72900,137000,68.0,6,0,360,360,1,1,0,0,8,1,4,37,998,1,1,3.75,137000,27.09,30.27,0,1,0.0,1,0.0,1.0,2,5,2
4.0,23.0,75.0,794.0,11654.0,2.927,76696,68042,4204,72400,147200,80.0,1,0,360,360,1,1,0,0,8,2,4,35,998,1,1,3.375,147200,24.8,30.63,0,1,0.0,0,0.0,1.0,2,5,2
4.0,25.0,96.0,477.0,8476.0,2.485,64185,59346,6529,57300,169539,69.0,6,0,360,360,1,2,0,0,5,1,2,34,33,1,1,3.5,169539,16.11,38.23,0,0,0.0,0,0.0,1.0,2,2,2
1.0,43.0,110.0,330.0,8921.0,52.617,95276,73901,8725,77100,157500,70.0,6,0,300,300,1,2,0,0,5,1,2,61,63,1,1,3.75,157500,16.28,24.6,0,0,0.0,1,0.0,1.0,1,1,2
4.0,25.0,96.0,477.0,8476.0,2.485,64185,59346,5736,57300,128000,80.0,1,0,240,240,1,2,0,0,5,1,2,44,44,1,1,3.375,128000,19.11,33.11,0,1,0.0,0,0.0,1.0,2,2,2
1.0,38.0,57.0,566.0,2721.0,15.323,79116,86184,11096,90100,125000,67.0,6,0,360,360,1,1,0,0,8,2,4,55,998,1,1,4.375,125000,8.49,15.13,0,1,0.0,1,0.0,1.0,2,5,2
9.0,5.0,19.0,197.0,707.0,29.029,143139,88102,3100,92800,141000,40.0,6,0,360,360,1,1,0,0,8,2,4,35,998,1,1,3.875,141000,33.28,41.77,0,1,0.0,0,0.0,1.0,2,5,2
4.0,25.0,96.0,477.0,8478.0,6.25,63654,59346,9288,57300,132000,80.0,6,0,180,180,1,2,0,0,5,1,2,40,40,1,1,2.75,132000,11.94,34.8,0,0,0.0,0,0.0,1.0,2,2,2
9.0,5.0,21.0,197.0,2180.0,16.195,60417,88102,10416,92800,160000,53.0,6,0,360,360,1,1,0,0,8,1,4,35,998,1,1,3.75,160000,11.15,25.81,0,1,0.0,0,0.0,1.0,2,5,2
4.0,25.0,96.0,477.0,8481.0,10.727,56528,59346,5929,57300,161000,51.0,6,0,360,360,1,1,0,0,8,2,4,40,998,1,1,3.75,161000,19.57,21.04,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,26.0,794.0,4571.0,1.778,62074,62123,7533,66300,123300,90.0,1,0,360,360,1,2,0,0,5,1,2,34,29,1,1,3.75,123300,11.89,28.74,0,1,25.0,0,0.0,1.0,2,2,2
4.0,25.0,96.0,477.0,8481.0,10.727,56528,59346,7960,57300,177500,79.0,1,0,360,360,1,2,0,0,5,1,2,62,48,1,1,3.75,177500,14.39,33.38,0,0,0.0,0,0.0,1.0,2,2,2
1.0,14.0,35.0,342.0,6611.0,14.277,97669,72045,7683,77800,166500,90.0,2,0,360,360,1,2,0,0,5,1,2,25,22,1,1,3.75,166500,13.79,19.1,0,0,25.0,0,0.0,1.0,2,2,2
1.0,13.0,100.0,184.0,1801.0,2.36,58542,55995,5000,59300,135975,65.0,2,0,360,360,1,1,0,0,8,1,4,30,998,1,1,3.875,135975,21.77,23.17,0,1,0.0,0,0.0,1.0,2,5,2
4.0,15.0,27.0,794.0,4536.0,7.665,65100,65739,5200,69400,133300,101.0,1,3,360,360,1,2,1,0,5,1,2,23,22,1,1,4.25,133300,18.83,35.79,0,0,0.0,0,0.0,1.0,2,2,2
9.0,5.0,33.0,197.0,1555.0,23.348,94130,88102,4166,92800,159500,77.0,1,0,360,360,1,1,1,0,8,1,4,37,998,1,1,3.625,159500,27.65,28.68,0,1,0.0,0,0.0,1.0,3,5,2
1.0,13.0,26.0,794.0,4546.0,2.027,55714,62123,9738,66300,162152,86.0,2,0,360,360,1,2,0,0,5,1,2,46,55,1,1,3.375,162152,11.83,43.55,0,1,25.0,0,0.0,1.0,2,2,2
4.0,15.0,13.0,705.0,11506.0,40.089,61325,65739,3892,69400,147460,101.0,1,3,360,360,1,1,1,0,8,1,4,24,998,1,1,4.5,147460,27.52,35.77,0,1,0.0,0,0.0,1.0,1,5,2
1.0,13.0,26.0,794.0,4564.0,3.212,49297,62123,4841,66300,157000,69.0,2,0,360,360,1,1,0,0,8,1,4,25,998,1,1,3.25,157000,25.7,26.42,0,1,0.0,0,0.0,1.0,2,5,2
4.0,15.0,106.0,679.0,541.0,2.915,84621,65325,6283,71400,137200,80.0,1,0,360,360,1,2,0,0,5,1,2,25,22,1,1,4.25,137200,13.89,25.44,0,0,0.0,0,0.0,1.0,2,2,2
4.0,15.0,53.0,794.0,4831.0,3.451,69181,68929,9064,69400,130000,97.0,1,3,360,360,1,2,1,0,5,1,2,40,39,1,1,4.25,130000,10.57,27.69,0,1,0.0,1,0.0,1.0,2,2,2
1.0,49.0,0.0,794.0,11363.0,5.656,66688,64707,4750,68400,154900,67.0,6,0,240,240,1,1,0,0,8,1,4,55,998,1,1,3.125,154900,27.55,38.08,0,1,0.0,0,0.0,1.0,2,5,2
9.0,27.0,11.0,373.0,11635.0,19.845,64417,73268,5573,74900,158585,101.0,1,3,360,360,1,2,1,0,5,1,2,47,47,1,1,3.875,158585,21.26,39.15,0,1,0.0,0,0.0,1.0,2,2,2
4.0,23.0,64.0,794.0,11353.0,9.662,52917,67267,4917,72400,134100,90.0,1,0,360,360,1,1,0,0,8,1,4,24,998,1,1,3.75,134100,17.11,31.45,0,1,25.0,0,0.0,1.0,2,5,2
9.0,27.0,66.0,521.0,11528.0,3.359,74063,64975,6421,70000,139380,101.0,1,3,360,360,1,2,0,0,5,2,1,28,27,1,1,4.375,139380,15.83,44.7,0,0,0.0,0,0.0,1.0,2,2,2
9.0,27.0,61.0,418.0,158.0,8.613,94632,75378,9994,81300,155000,79.0,6,0,180,180,1,2,0,0,5,1,2,28,29,1,1,3.875,155000,15.14,20.33,0,0,0.0,0,0.0,1.0,2,2,2
9.0,27.0,87.0,418.0,11500.0,3.067,71330,75378,6518,81300,171717,102.0,1,3,360,360,1,2,1,0,5,1,2,23,23,1,1,3.875,171717,18.14,29.97,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,15.0,434.0,2090.0,4.449,74356,87309,8498,94200,176000,80.0,1,0,360,360,1,2,0,0,5,1,2,42,37,1,1,3.5,176000,13.5,21.88,0,0,0.0,0,0.0,1.0,2,2,2
4.0,25.0,104.0,630.0,6854.0,7.306,117484,75382,2953,81200,151200,80.0,6,0,360,360,1,1,0,0,8,2,4,76,998,1,1,4.25,151200,36.12,37.03,0,1,0.0,0,6.0,1.0,2,5,2
4.0,25.0,29.0,360.0,2586.0,2.318,62712,66565,8752,73000,140000,79.0,2,0,360,360,1,2,0,0,5,1,2,33,31,1,1,3.75,140000,9.13,22.01,0,0,0.0,0,0.0,1.0,2,2,2
4.0,25.0,11.0,157.0,135.0,19.576,44898,75064,8350,79400,143500,80.0,2,0,360,360,1,2,0,0,5,2,1,40,54,1,1,3.75,143500,13.33,22.14,0,0,0.0,0,5.0,1.0,2,2,2
1.0,49.0,26.0,434.0,11493.0,3.413,83370,87309,2689,94200,126458,70.0,2,0,360,360,1,1,0,0,8,1,4,48,998,1,1,3.75,126500,34.94,47.81,0,1,0.0,1,0.0,1.0,2,5,2
9.0,15.0,58.0,344.0,1667.0,11.66,81563,86983,2626,90700,159846,43.0,2,0,360,360,1,2,0,0,5,1,2,40,32,1,1,3.75,160545,41.28,42.35,0,1,0.0,1,0.0,1.0,2,2,2
1.0,49.0,65.0,667.0,51.0,16.704,59514,70127,7366,76900,123000,72.0,2,0,360,360,1,2,0,0,5,2,1,25,24,1,1,3.75,123000,11.94,24.16,0,0,0.0,1,0.0,1.0,2,2,2
1.0,49.0,15.0,434.0,2090.0,4.449,74356,87309,3598,94200,162500,86.0,2,0,360,360,1,1,0,0,8,1,4,26,998,1,1,3.875,162500,32.03,44.54,0,1,25.0,0,0.0,1.0,2,5,2
4.0,25.0,29.0,360.0,1737.0,13.829,73681,66565,6006,73000,129200,95.0,1,0,360,360,1,2,0,0,5,2,1,36,37,1,1,3.75,129200,15.06,25.18,0,1,30.0,0,0.0,1.0,2,2,2
9.0,27.0,87.0,418.0,11497.0,4.04,81786,75378,5899,81300,174500,44.0,6,0,360,360,1,2,0,0,5,1,2,70,66,1,1,4.25,174500,24.91,35.94,0,1,0.0,0,6.0,1.0,2,2,2
1.0,49.0,59.0,357.0,493.0,5.932,82950,64322,12553,65600,126000,69.0,6,0,360,360,1,2,0,0,5,1,2,37,29,1,1,3.75,126000,7.6,28.3,0,1,0.0,0,0.0,1.0,2,2,2
4.0,25.0,50.0,157.0,11497.0,14.067,61458,75064,9522,61000,133000,95.0,2,0,360,360,1,2,0,0,5,1,2,42,36,1,1,3.5,133000,9.15,43.8,0,0,30.0,0,0.0,1.0,2,2,2
4.0,25.0,29.0,360.0,2625.0,2.118,61576,66565,7275,73000,175920,80.0,1,0,360,360,1,2,0,0,5,2,1,22,23,1,1,3.625,175920,14.04,30.95,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,15.0,434.0,2055.0,3.129,95125,87309,3828,94200,136000,76.0,2,0,240,240,1,1,0,0,8,1,4,52,998,1,1,4.125,136000,30.16,44.92,0,1,0.0,0,0.0,1.0,2,5,2
1.0,49.0,26.0,434.0,11517.0,2.352,65924,87309,5334,94200,158000,79.0,2,0,360,360,1,2,0,0,5,1,2,39,36,1,1,3.875,158000,19.35,23.65,0,0,0.0,0,0.0,1.0,2,2,2
4.0,15.0,14.0,794.0,4546.0,1.381,71736,67471,8943,70100,133000,95.0,1,0,360,360,1,2,0,0,5,1,2,56,52,1,1,3.375,133000,9.06,17.86,0,1,30.0,0,0.0,1.0,2,2,2
9.0,27.0,31.0,538.0,1237.0,10.253,114182,79131,12641,86100,160000,72.0,6,0,360,360,1,2,0,0,5,1,2,55,51,1,1,4.375,160000,11.93,23.52,0,0,0.0,0,6.0,1.0,2,2,2
4.0,15.0,22.0,794.0,4527.0,1.709,67578,68913,3270,69400,140000,46.0,1,0,360,360,1,1,0,0,8,2,4,29,998,1,1,3.375,140000,26.59,27.9,0,1,0.0,0,0.0,1.0,2,5,2
4.0,15.0,10.0,759.0,759.0,2.133,89397,70997,5047,76800,169100,95.0,2,0,360,360,1,1,0,0,8,2,4,31,998,1,1,3.875,169100,23.79,36.12,0,1,30.0,0,0.0,1.0,2,5,2
4.0,15.0,50.0,794.0,11490.0,3.381,56600,65739,9868,69400,128250,95.0,1,0,360,360,1,2,0,0,5,1,2,63,54,1,1,3.625,128250,9.28,20.62,0,0,30.0,0,0.0,1.0,2,2,2
9.0,15.0,63.0,127.0,1691.0,4.524,85991,79923,7368,88000,171980,38.0,2,0,180,180,1,1,0,0,8,2,4,57,998,1,1,3.0,171980,26.62,44.03,0,1,0.0,1,0.0,1.0,2,5,2
4.0,15.0,22.0,794.0,4564.0,4.677,63594,68913,6890,69400,149150,95.0,1,0,360,360,1,2,0,0,5,1,2,27,27,1,1,3.625,149150,14.27,31.33,0,0,30.0,0,0.0,1.0,2,2,2
4.0,15.0,14.0,794.0,4571.0,3.214,69300,67471,5660,70100,150000,83.0,2,0,180,180,1,2,0,0,5,2,1,63,55,1,1,3.375,150000,24.07,35.57,0,1,6.0,0,0.0,1.0,2,2,2
4.0,15.0,10.0,759.0,700.0,4.182,93456,70997,5803,76800,140600,95.0,1,0,360,360,1,1,0,0,8,1,4,32,998,1,1,3.375,140600,16.43,39.85,0,1,30.0,0,0.0,1.0,2,5,2
1.0,49.0,59.0,357.0,493.0,5.932,82950,64322,11189,65600,171500,72.0,2,0,360,360,1,2,0,0,5,1,2,50,50,1,1,3.875,171500,12.19,34.53,0,0,0.0,0,0.0,1.0,2,2,2
9.0,15.0,58.0,344.0,39.0,17.762,114297,86983,6249,90700,175730,68.0,2,0,180,180,1,2,0,0,5,1,2,34,34,1,1,2.875,175730,30.75,31.15,0,1,0.0,1,5.0,1.0,2,2,2
1.0,49.0,26.0,434.0,11490.0,3.653,92522,87309,4228,94200,168000,80.0,2,0,360,360,1,2,0,0,5,1,2,60,60,1,1,3.875,168000,27.9,32.21,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,62.0,54.0,85.0,7.193,84167,68309,8085,70500,166500,74.0,2,0,360,360,1,2,0,0,5,1,2,40,40,1,1,3.875,166500,13.37,19.19,0,0,0.0,0,0.0,1.0,2,2,2
4.0,41.0,58.0,597.0,1897.0,12.723,69478,65829,5778,68700,176000,80.0,1,0,360,360,1,1,0,0,8,1,4,30,998,1,1,4.0,176000,20.77,21.67,0,1,0.0,0,0.0,1.0,2,5,2
4.0,41.0,7.0,0.0,11380.0,6.808,81393,73439,8797,74000,160000,80.0,6,0,360,360,1,2,0,0,5,1,2,39,40,1,1,3.875,160000,12.07,37.3,0,0,0.0,1,0.0,1.0,2,2,2
4.0,41.0,36.0,569.0,11760.0,18.527,88205,90236,8578,92300,137200,80.0,6,0,240,240,1,2,0,0,5,1,2,49,47,1,1,3.75,137200,14.64,29.77,0,0,0.0,0,0.0,1.0,2,2,2
4.0,41.0,58.0,597.0,1785.0,9.505,64875,65829,3687,68700,150400,80.0,1,0,360,360,1,2,0,0,5,1,2,57,54,1,1,3.875,150400,28.25,43.77,0,0,0.0,1,0.0,1.0,2,2,2
4.0,41.0,56.0,680.0,193.0,6.41,98571,77866,2493,86200,163520,80.0,1,0,360,360,1,1,0,0,8,2,4,33,998,1,1,3.875,163520,43.84,46.56,0,1,0.0,0,0.0,1.0,2,5,2
1.0,49.0,15.0,434.0,2097.0,6.427,104138,87309,4778,94200,130000,78.0,2,0,360,360,1,1,0,0,8,2,4,57,998,1,1,3.75,130000,18.78,40.76,0,1,0.0,0,0.0,1.0,2,5,2
4.0,41.0,75.0,788.0,11598.0,8.608,66899,65425,3330,70600,173000,53.0,6,0,360,360,1,2,0,0,5,1,2,50,53,1,1,3.875,173000,37.23,46.98,0,0,0.0,0,0.0,1.0,2,2,2
9.0,27.0,66.0,521.0,11521.0,9.442,81179,64975,7263,70000,163369,78.0,2,0,180,180,1,2,0,0,5,1,2,26,25,1,1,2.875,164100,21.01,26.09,0,0,0.0,0,0.0,1.0,2,1,2
1.0,13.0,65.0,630.0,11459.0,2.863,61518,75382,4155,81200,140409,99.0,1,1,360,360,1,1,1,0,8,1,4,36,998,1,1,3.0,140409,22.56,34.64,0,1,0.0,0,0.0,1.0,2,5,2
9.0,20.0,27.0,636.0,11347.0,8.045,64760,67356,22349,70500,156000,63.0,6,0,240,240,1,2,0,0,5,1,2,51,52,2,1,4.125,156000,9.66,44.96,0,0,0.0,0,0.0,1.0,2,2,2
1.0,13.0,65.0,630.0,11453.0,2.685,69643,75382,6524,81200,121404,101.0,1,3,360,360,1,2,1,0,5,1,2,27,26,1,1,3.125,121404,12.61,20.55,0,0,0.0,0,0.0,1.0,2,2,2
4.0,41.0,25.0,794.0,11643.0,3.698,66154,66154,4197,70600,127600,50.0,6,0,360,360,1,2,0,0,5,1,2,43,39,1,1,3.875,127600,20.66,46.1,0,0,0.0,0,0.0,1.0,2,2,2
4.0,41.0,75.0,788.0,11596.0,6.623,69181,65425,4244,70600,132800,80.0,1,0,360,360,1,1,1,0,8,2,4,33,998,1,1,3.625,132800,21.7,23.19,0,1,0.0,1,0.0,1.0,2,5,2
1.0,13.0,91.0,690.0,591.0,3.147,80208,77107,5826,76400,132741,99.0,1,3,360,360,1,1,1,0,8,1,4,32,998,1,1,3.125,132741,17.08,25.94,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,91.0,690.0,359.0,10.629,120139,77107,13235,76400,165000,86.0,6,2,180,180,1,2,0,0,5,1,2,53,47,1,1,3.125,165000,9.81,25.2,0,0,0.0,0,0.0,1.0,2,2,2
1.0,13.0,76.0,353.0,11389.0,14.195,61733,62123,3909,66300,126127,90.0,2,2,180,180,1,1,0,0,8,2,4,75,998,1,1,3.125,126127,31.14,38.35,0,1,0.0,0,0.0,1.0,2,5,2
9.0,27.0,31.0,538.0,1152.0,37.177,78147,79131,8524,86100,155000,68.0,2,0,180,180,1,2,0,0,5,1,2,43,40,1,1,2.875,155000,18.47,29.2,0,0,0.0,0,0.0,1.0,2,2,2
9.0,27.0,31.0,538.0,1154.0,12.27,102234,79131,12696,86100,166656,80.0,1,0,180,180,1,2,1,0,5,1,2,28,28,1,1,3.0,166656,12.77,20.6,0,1,0.0,0,6.0,1.0,2,2,2
1.0,13.0,54.0,274.0,38.0,12.206,52690,62123,5740,66300,131191,101.0,1,2,360,360,1,1,0,0,8,1,4,38,998,1,1,3.875,131191,15.54,34.76,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,42.0,122.0,1751.0,32.609,46964,61016,3924,64800,145757,108.0,1,3,360,360,1,1,1,0,8,1,4,22,998,1,1,3.625,145757,24.04,40.68,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,78.0,612.0,11528.0,20.215,74861,70686,5067,73400,129878,100.0,1,3,360,360,1,2,1,0,5,1,2,31,30,1,1,3.875,129878,19.84,31.54,0,0,0.0,0,0.0,1.0,1,1,2
9.0,27.0,53.0,287.0,11668.0,3.341,71019,65121,6370,70500,168000,75.0,6,0,240,240,1,1,0,0,8,2,4,63,998,1,1,3.875,168000,22.18,37.68,0,1,0.0,0,6.0,1.0,2,5,2
4.0,41.0,56.0,680.0,315.0,3.667,102375,77866,3580,86200,164000,71.0,6,0,360,360,1,1,0,0,8,2,4,40,998,1,1,3.5,164000,30.44,43.01,0,1,0.0,0,0.0,1.0,1,5,2
1.0,13.0,99.0,794.0,11339.0,12.139,56510,62123,5208,66300,139132,78.0,2,2,360,360,1,1,0,0,8,1,4,32,998,1,1,3.25,139132,18.53,41.27,0,1,0.0,0,0.0,1.0,2,5,2
9.0,25.0,28.0,371.0,11497.0,8.395,76399,77634,5687,82400,165000,71.0,6,0,240,240,1,1,0,0,8,1,4,41,998,1,1,4.0,165000,23.72,30.38,0,1,0.0,0,0.0,1.0,2,5,2
9.0,25.0,28.0,371.0,11497.0,8.395,76399,77634,5957,82400,140000,80.0,6,0,360,360,1,2,0,0,5,1,2,34,31,1,1,4.0,140000,14.5,25.35,0,0,0.0,0,0.0,1.0,2,2,2
9.0,25.0,28.0,371.0,11500.0,4.061,75071,77634,4583,82400,122000,80.0,1,0,360,360,1,1,1,0,8,1,4,25,998,1,1,3.75,122000,22.03,38.83,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,6.0,545.0,11584.0,5.551,72181,67261,6283,69200,123232,102.0,1,3,360,360,1,2,1,0,5,1,2,31,29,1,1,4.25,123232,15.35,23.59,0,0,0.0,0,0.0,1.0,2,2,2
9.0,16.0,52.0,371.0,4237.0,13.896,73828,77634,9658,82400,145000,66.0,6,0,240,240,1,1,0,0,8,1,4,38,998,1,1,3.875,145000,13.39,17.01,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,110.0,615.0,85.0,12.778,71019,63282,7917,63600,174870,101.0,2,2,360,360,1,1,0,0,8,1,4,48,998,1,1,3.75,174870,17.51,36.66,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,18.0,134.0,38.0,5.004,54909,62123,6084,66300,166060,101.0,1,3,360,360,1,1,1,0,8,2,4,27,998,1,1,3.875,166060,18.92,25.04,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,78.0,612.0,11538.0,40.011,54792,70686,4899,73400,161616,101.0,1,3,360,360,1,1,1,0,8,2,4,25,998,1,1,4.0,161616,25.74,44.75,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,78.0,612.0,11538.0,40.011,54792,70686,4233,73400,128282,101.0,1,3,360,360,1,1,1,0,8,2,4,30,998,1,1,3.75,128282,24.01,34.45,0,1,0.0,0,0.0,1.0,2,5,2
1.0,13.0,78.0,612.0,11538.0,40.011,54792,70686,4402,73400,135858,101.0,1,3,360,360,1,1,1,0,8,1,4,29,998,1,1,4.25,135858,24.61,26.04,0,1,0.0,0,0.0,1.0,1,5,2
9.0,43.0,151.0,749.0,629.0,26.545,75019,58271,5417,64000,170910,90.0,1,0,360,360,1,1,1,0,8,1,4,37,998,1,1,4.5,170910,26.22,40.78,0,1,25.0,0,0.0,1.0,2,5,2
4.0,15.0,27.0,794.0,4564.0,45.359,57769,65739,4779,69400,130000,69.0,1,0,240,240,1,1,1,0,8,1,4,34,998,1,1,4.0,130000,24.01,24.01,0,1,0.0,0,0.0,1.0,1,5,2
4.0,15.0,94.0,794.0,7072.0,41.475,53906,67415,4951,69400,132000,80.0,6,0,360,360,1,1,0,0,8,1,4,44,998,1,1,3.75,132000,19.26,31.42,0,1,0.0,0,0.0,1.0,1,5,2
4.0,41.0,56.0,680.0,58.0,17.795,64784,77866,3466,86200,151725,85.0,1,0,360,360,1,1,1,0,8,1,4,35,998,1,1,3.75,151725,29.42,30.43,0,1,12.0,0,0.0,1.0,2,5,2
4.0,23.0,65.0,794.0,8323.0,10.398,49680,67267,6250,72400,151000,90.0,6,0,360,360,1,2,0,0,5,1,2,39,39,1,1,3.75,151000,18.35,35.17,0,0,25.0,1,0.0,1.0,2,2,2
4.0,41.0,44.0,794.0,11497.0,1.465,91146,76034,5000,79200,144000,80.0,6,0,360,360,1,1,0,0,8,1,4,43,998,1,1,3.875,144000,22.74,36.66,0,1,0.0,0,5.0,1.0,2,5,2
1.0,49.0,65.0,667.0,0.0,12.647,63558,70127,7400,76900,169600,80.0,6,0,360,360,1,2,0,0,5,1,2,28,29,1,1,3.75,169600,15.37,29.8,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,65.0,667.0,1844.0,4.353,77564,70127,9206,76900,154000,70.0,1,0,360,360,1,2,0,0,5,1,2,48,50,1,1,3.625,154000,12.34,28.46,0,1,0.0,0,5.0,1.0,2,2,2
1.0,13.0,86.0,794.0,11369.0,2.251,71607,65116,8537,67900,131620,77.0,2,0,360,360,1,2,0,0,5,1,2,29,28,1,1,3.375,131620,12.76,23.88,0,0,0.0,0,0.0,1.0,2,2,2
1.0,13.0,86.0,794.0,11366.0,2.45,76321,65116,10333,67900,153600,80.0,1,0,360,360,1,2,0,0,5,1,2,27,25,1,1,3.5,153600,8.7,25.77,0,0,0.0,0,0.0,1.0,2,2,2
4.0,41.0,56.0,680.0,57.0,18.681,54310,77866,4220,86200,176700,95.0,1,0,360,360,1,1,1,0,8,1,4,32,998,1,1,3.75,176700,27.52,33.7,0,1,30.0,0,0.0,1.0,2,5,2
1.0,3.0,79.0,245.0,1785.0,11.485,67192,64487,13178,68600,147189,49.0,2,0,180,180,1,2,0,0,5,1,2,44,42,1,1,3.0,147189,8.65,19.68,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,59.0,357.0,151.0,9.17,100809,64322,8725,65600,165000,80.0,2,0,360,360,1,2,0,0,5,1,2,40,34,1,1,3.125,165000,12.93,15.29,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,59.0,357.0,530.0,4.59,70982,64322,4999,65600,139000,53.0,1,0,360,360,1,1,0,0,8,2,4,49,998,1,1,3.5,139000,21.51,26.09,0,1,0.0,0,0.0,1.0,2,5,2
9.0,27.0,61.0,418.0,628.0,7.689,105242,75378,7851,81300,162080,80.0,6,0,180,180,1,1,0,0,8,1,4,55,998,1,1,3.625,162080,20.71,43.23,0,1,0.0,0,0.0,1.0,2,5,2
9.0,2.0,7.0,567.0,5083.0,41.188,45112,68709,8883,72900,128000,48.0,6,0,360,360,1,2,0,0,5,2,1,30,30,1,1,4.0,128000,9.35,42.17,0,0,0.0,0,0.0,1.0,1,1,2
1.0,49.0,59.0,357.0,96.0,9.129,61964,64322,6528,65600,141500,79.0,1,0,360,360,1,2,0,0,5,1,2,54,54,1,1,3.625,141500,18.01,28.95,0,0,0.0,0,0.0,1.0,2,2,2
1.0,49.0,36.0,794.0,11654.0,4.02,72798,65333,9336,68400,176000,80.0,1,0,360,360,1,2,0,0,5,2,1,24,24,1,1,3.75,176000,12.25,25.77,0,1,0.0,0,0.0,1.0,2,2,2
1.0,49.0,44.0,471.0,2770.0,25.425,69259,76163,13351,82300,134700,66.0,6,0,360,360,1,2,0,0,5,1,2,51,48,1,1,4.5,134700,8.71,21.97,0,0,0.0,0,0.0,1.0,2,1,2
9.0,10.0,150.0,362.0,11651.0,26.183,47400,51088,6302,53900,170240,80.0,6,0,180,180,1,1,0,0,8,2,4,58,998,1,1,3.625,170240,24.11,44.57,0,1,0.0,0,0.0,1.0,2,5,2
4.0,25.0,22.0,371.0,4404.0,3.581,69323,77634,5842,82400,159000,92.0,1,0,360,360,1,2,0,0,5,1,2,33,32,1,1,4.25,159000,17.55,27.64,0,1,30.0,0,0.0,1.0,2,2,2
4.0,25.0,54.0,371.0,2253.0,44.311,73843,77634,8777,82400,166500,90.0,1,0,360,360,1,2,1,0,5,1,2,30,26,1,1,4.5,166500,13.95,24.36,0,0,25.0,0,0.0,1.0,2,2,2
1.0,49.0,74.0,471.0,6444.0,8.569,115179,76163,8684,82300,174500,74.0,6,0,360,360,1,1,0,0,8,1,4,37,998,1,1,3.875,174500,13.45,23.25,0,1,0.0,0,0.0,1.0,2,5,2
1.0,49.0,44.0,471.0,4976.0,8.739,81211,76163,15340,82300,138000,80.0,2,0,360,360,1,1,0,0,8,1,4,41,998,1,1,3.6,138000,6.66,17.4,0,1,0.0,0,0.0,1.0,2,5,2
9.0,42.0,22.0,509.0,2317.0,20.702,90750,72006,10451,78000,156000,80.0,6,0,360,360,1,2,0,0,5,2,2,54,36,1,1,5.5,156000,12.04,44.91,0,0,0.0,0,5.0,1.0,2,2,2
9.0,28.0,1.0,400.0,964.0,52.518,83627,63917,7504,67800,165000,65.0,6,0,360,360,1,1,0,0,8,1,4,48,998,1,1,4.375,165000,13.76,24.1,0,1,0.0,0,6.0,1.0,2,5,2
9.0,9.0,54.0,542.0,2021.0,82.532,56884,61344,10508,65100,176250,75.0,6,0,360,360,1,2,0,0,5,1,1,45,69,1,1,5.125,176250,12.99,39.43,0,1,0.0,0,0.0,1.0,2,2,2
4.0,25.0,54.0,371.0,2178.0,4.245,104129,77634,6847,82400,159803,80.0,6,0,360,360,1,1,0,0,8,1,4,57,998,1,1,4.875,160000,18.26,41.66,0,1,0.0,0,0.0,1.0,2,5,2
4.0,25.0,54.0,371.0,2300.0,5.88,98220,77634,5227,82400,168000,60.0,6,0,360,360,1,2,0,0,5,2,1,74,75,1,1,4.375,168000,24.08,43.98,0,0,0.0,0,0.0,1.0,2,2,2
